Iteration,Family,Upper Vars,Lower Vars,Val RMSE,BIC,Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Selected by Pareto
1236,nb,"EXPOSE_Z, FC_1","MIMEDSH_Z, MXMEDSH_Z",16.403956528303855,1153.9228633746116,False,True,,,,False
2218,nb,"FC_1, SPEED_Z","MIMEDSH_Z, MXMEDSH_Z",16.375972765841727,1153.9458874177226,False,True,,,,False
2200,nb,"FC_1, FC_2","MIMEDSH_Z, MXMEDSH_Z",16.34912071529478,1153.955097230406,False,True,,,,False
2253,nb,"FC_1, GBRPM_Z","MIMEDSH_Z, MXMEDSH_Z",16.320118995457648,1153.964594745226,False,True,,,,False
906,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",SLOPE_Z,17.364002662647884,1153.9698122046937,False,True,,,,False
2193,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",HISNOW,16.507050233683902,1153.972224035542,False,True,,,,False
1074,nb,"FC_1, FC_2, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,16.882852744270448,1153.99228763834,False,True,,,,False
1140,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",FRICTION_Z,16.555276558503834,1154.0253986840519,False,True,,,,False
2167,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",FRICTION_Z,16.555276558503834,1154.0253986840519,False,True,,,,False
909,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",MXMEDSH_Z,16.890321857003045,1154.039110246435,False,True,,,,False
923,nb,"FC_1, FRICTION_Z, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,16.871737576149886,1154.0399500956476,False,True,,,,False
996,nb,"ACCESS_Z, FC_1, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,16.872667708240257,1154.040180260545,False,True,,,,False
967,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","FRICTION_Z, MXMEDSH_Z",16.87257179964376,1154.0401906028505,False,True,,,,False
1168,nb,"FC_1, FC_2, MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z,16.293990720390237,1154.043757349151,False,True,,,,False
1046,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MINRAD_Z, MXMEDSH_Z",CURVES_Z,17.187868038828622,1154.0704554579095,False,True,,,,False
1987,nb,"MIMEDSH_Z, MINRAD_Z, MXGRDIFF_Z",MXMEDSH_Z,16.748819626003797,1154.0776329305406,False,True,,,,False
893,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",ACCESS_Z,17.038819888423667,1154.093003953864,False,True,,,,False
2179,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",SPEED_Z,16.499351121468123,1154.0958693333725,False,True,,,,False
1212,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",MXMEDSH_Z,16.513175750458522,1154.0984357118084,False,True,,,,False
