Y,US,RSHS,RSMS,O,AADT,MCV,C,CT
0,0,1,0,0.985,0.69,0.42,0,0
0,0,1,0,0.955,0.69,0.42,0,0
0,0,1,0,1.151,0.64,0.4,0,0
0,0,1,0,1.151,0.64,0.4,0,0
0,0,1,0,1.151,0.64,0.4,0,0
0,0,1,0,1.151,0.64,0.4,0,0
0,0,1,0,1.147,0.64,0.4,0,0
0,0,1,0,1.151,0.66,0.41,0,1
0,0,1,0,1.151,0.66,0.41,0,1
0,0,1,0,1.151,0.66,0.41,0,1
0,0,1,0,1.151,0.66,0.41,0,1
0,0,1,0,1.118,0.66,0.41,0,1
0,1,0,0,0.801,0.65,0.41,0,0
0,1,0,0,0.98,0.8,0.14,0,0
0,1,0,0,0.87,0.8,0.14,0,0
0,0,1,0,1.151,0.69,0.21,0,1
0,0,1,0,1.151,0.69,0.21,0,1
0,0,1,0,1.151,0.69,0.21,0,1
0,0,1,0,1.151,0.69,0.21,0,1
0,0,1,0,1.151,0.69,0.21,0,1
0,0,1,0,1.151,0.69,0.21,0,1
0,0,1,0,1.099,0.69,0.21,0,1
0,1,0,0,0.952,0.65,0.07,0,0
0,1,0,0,0.921,0.58,0.38,0,0
0,0,1,0,1.151,0.6,0.38,0,0
0,0,1,0,1.151,0.6,0.38,0,0
0,0,1,0,1.151,0.6,0.38,0,0
0,0,1,0,1.151,0.6,0.38,0,0
0,0,1,0,1.151,0.6,0.38,0,0
0,0,1,0,1.151,0.6,0.38,0,0
0,0,1,0,1.145,0.6,0.38,0,0
0,1,0,0,0.9,0.59,0.38,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.151,0.46,0.25,0,0
0,0,1,0,1.067,0.46,0.25,0,0
0,0,1,0,0.921,0.47,0.25,0,0
0,0,1,0,1.151,0.55,0.37,0,0
0,0,1,0,1.151,0.55,0.37,0,0
0,0,1,0,1.146,0.55,0.37,0,0
0,0,1,0,0.896,0.55,0.37,0,0
0,0,1,0,1.151,0.5,0.25,0,0
0,0,1,0,1.151,0.5,0.25,0,0
0,0,1,0,1.151,0.5,0.25,0,0
0,0,1,0,1.151,0.5,0.25,0,0
0,0,1,0,1.151,0.5,0.25,0,0
0,0,1,0,0.939,0.5,0.25,0,0
0,1,0,0,0.921,0.56,0.27,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.151,0.48,0.26,0,0
0,0,1,0,1.116,0.48,0.26,0,0
0,0,1,0,1.085,0.5,0.23,1,1
0,0,1,0,0.995,0.49,0.34,0,0
0,0,0,0,0.98,0.47,0.35,0,0
0,0,1,0,1.043,0.47,0.35,0,0
0,0,1,0,0.968,0.47,0.35,1,0
0,0,1,0,1.111,0.47,0.35,0,0
0,0,1,0,0.954,0.47,0.35,0,0
0,0,0,0,0.905,0.47,0.22,0,0
0,1,0,0,0.892,0.47,0.22,0,0
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,1.151,0.46,0.22,0,1
0,0,1,0,0.942,0.46,0.22,1,1
0,0,0,0,0.947,1.03,0.34,1,0
0,0,0,0,0.901,1.03,0.07,0,0
0,1,0,0,0.882,0.97,0.51,0,0
0,1,0,0,0.968,0.97,0.51,0,1
0,1,0,0,0.931,0.86,0.47,0,1
0,1,0,0,1.013,0.86,0.47,0,1
0,0,0,0,0.89,1,0.09,1,0
0,1,0,0,0.882,0.97,0.33,0,0
0,1,0,0,0.874,0.97,0.33,0,0
0,1,0,0,0.91,1.02,0.29,0,0
0,0,1,0,0.995,0.7,0.37,0,0
0,1,0,0,0.974,0.7,0.37,0,0
0,1,0,0,0.87,0.7,0.37,0,0
0,0,1,0,0.962,0.7,0.37,0,0
0,0,1,0,0.899,0.7,0.37,0,0
0,0,1,0,1.103,0.7,0.37,0,0
0,0,1,0,1.102,0.72,0.23,0,0
0,1,0,0,0.885,0.73,0.26,0,0
0,1,0,0,0.921,0.73,0.26,0,1
0,0,1,0,1.105,0.73,0.26,0,1
0,0,1,0,0.939,0.73,0.26,0,0
0,0,1,0,1.024,0.73,0.23,0,0
0,1,0,0,0.962,0.72,0.35,0,0
0,0,1,0,0.87,0.72,0.35,1,0
0,0,1,0,1.082,0.72,0.35,0,0
0,1,0,0,0.87,0.73,0.39,0,0
0,1,0,0,0.899,0.73,0.39,0,0
0,0,1,0,1.111,0.69,0.37,1,0
0,0,1,0,1.142,0.67,0.36,0,1
0,0,1,0,1.004,0.67,0.37,0,0
0,0,1,0,1.151,0.66,0.37,0,1
0,0,1,0,0.76,0.66,0.37,0,1
0,1,0,0,0.899,0.63,0.37,0,0
0,1,0,0,0.87,0.63,0.37,0,0
0,0,1,0,1.151,0.63,0.37,0,1
0,0,1,0,1.062,0.63,0.37,0,1
0,0,1,0,0.99,0.63,0.37,0,1
0,0,1,0,1.135,0.67,0.4,0,1
0,1,0,0,0.931,0.77,0.44,0,0
0,0,1,0,0.921,0.72,0.39,0,0
0,0,1,0,0.985,0.69,0.36,0,0
0,0,1,0,1.151,0.68,0.36,0,0
0,0,1,0,1.151,0.68,0.36,0,0
0,0,1,0,1.151,0.68,0.36,0,0
0,0,1,0,1.151,0.68,0.36,0,0
0,0,1,0,0.99,0.68,0.36,0,0
0,1,0,0,0.899,0.66,0.35,0,0
