ID,Month,Death,Roadway_Class,Road_surface,Road_section,Weather_condition,Light_condition
471,1,1,4,1,3,1,1
472,1,0,3,1,3,1,2
473,1,0,3,1,1,1,1
474,1,1,1,1,1,1,2
475,1,1,1,1,3,1,2
476,1,0,3,1,1,1,1
477,1,0,1,1,1,1,1
478,1,0,1,1,1,1,1
479,1,1,4,1,1,1,3
480,1,0,4,1,2,1,1
481,1,0,4,1,1,1,1
482,1,1,1,1,1,1,3
483,1,0,1,1,1,1,2
484,1,1,1,1,1,1,3
485,1,0,4,1,1,1,3
486,1,0,4,1,1,1,3
487,1,0,1,1,1,1,2
488,1,0,4,1,3,1,1
489,1,2,1,1,3,1,1
490,1,0,4,1,3,1,1
491,1,0,4,1,1,1,1
492,1,1,2,1,1,1,1
493,1,0,4,1,3,1,1
494,1,1,1,1,1,1,1
495,1,1,1,1,2,1,1
496,1,0,4,1,3,1,3
497,1,1,3,1,1,1,1
498,1,0,4,1,1,1,3
499,1,0,1,1,3,1,1
500,1,0,4,1,1,1,1
501,1,0,3,1,3,1,1
502,1,1,2,1,1,1,2
503,1,0,1,1,2,1,1
504,1,0,4,1,3,1,1
505,1,1,1,1,2,1,2
506,1,1,1,1,1,1,3
507,1,0,1,1,3,1,2
508,1,0,4,2,2,2,3
509,1,0,4,1,1,1,1
510,1,1,4,1,1,1,1
511,1,1,2,1,1,1,1
512,1,0,4,1,1,1,1
513,1,0,1,1,1,1,1
514,1,0,4,1,1,1,3
515,1,0,1,1,1,1,1
516,1,0,2,1,1,1,1
517,1,0,4,1,1,1,1
518,1,1,3,2,3,1,2
519,1,0,3,1,1,1,1
520,1,0,2,1,1,1,3
521,1,0,1,1,2,1,1
522,1,0,4,1,3,1,2
523,1,0,4,1,1,1,3
524,1,1,1,1,1,1,3
525,1,0,4,1,1,1,1
526,1,0,1,2,2,3,1
527,1,0,1,1,3,1,1
528,1,0,4,1,1,1,1
529,1,0,3,1,3,1,1
530,1,0,1,1,2,1,1
531,1,0,3,1,3,1,3
532,1,0,4,1,1,1,3
533,1,0,4,1,1,1,1
534,1,0,1,1,3,1,1
535,1,0,2,1,1,1,1
536,1,0,4,1,1,1,1
537,1,1,1,1,1,1,1
538,1,1,4,1,1,1,2
539,1,1,3,1,1,1,1
540,1,1,1,1,2,1,3
541,1,1,2,1,1,1,1
542,1,1,1,1,1,1,3
543,1,1,4,1,1,1,2
544,1,1,2,1,1,1,2
545,1,0,1,1,3,1,1
546,1,1,1,1,3,1,1
547,1,0,4,1,3,1,1
548,1,1,3,1,3,1,2
549,1,0,4,1,1,1,3
550,1,0,3,1,1,1,1
551,1,1,1,1,2,1,1
552,1,0,1,1,1,1,3
553,1,0,1,1,3,1,1
554,1,0,2,1,2,2,3
555,1,1,4,1,1,1,1
556,1,1,2,1,1,1,1
557,1,0,1,1,1,1,1
558,1,1,4,1,1,1,1
559,1,0,3,1,1,1,1
560,1,0,3,1,1,1,1
561,1,0,4,1,1,1,2
562,1,1,2,1,1,1,1
563,1,0,1,1,1,1,1
564,1,0,3,1,2,1,1
565,1,0,1,1,1,1,1
566,1,0,4,1,3,1,1
567,1,0,4,1,1,1,1
568,1,0,1,1,1,1,1
569,1,0,4,1,3,1,2
570,1,0,1,1,1,1,3
571,1,0,1,1,1,1,1
572,1,0,1,1,3,1,3
573,1,0,4,1,3,1,1
574,1,0,1,1,3,1,2
575,1,0,4,1,1,1,3
576,1,0,1,1,3,1,1
577,1,1,4,1,1,1,1
578,1,0,1,1,1,1,1
579,1,0,2,1,3,1,1
580,1,1,3,1,1,1,1
581,1,1,1,1,1,1,2
582,1,1,1,1,3,1,1
583,1,0,1,1,1,1,1
584,1,1,1,1,1,1,1
585,1,1,1,1,1,1,1
586,1,1,4,1,1,1,3
587,1,1,1,1,1,1,1
588,1,0,1,1,3,2,2
589,1,0,1,1,1,1,1
590,1,1,1,1,1,1,1
591,1,0,1,1,1,1,3
592,1,1,1,1,2,1,2
593,1,0,4,1,1,1,3
594,1,0,4,1,1,1,3
595,1,1,1,1,1,1,1
596,1,1,1,1,1,1,1
597,1,0,2,1,1,1,3
598,1,0,1,1,3,1,2
599,1,0,1,1,3,1,1
600,1,1,1,1,2,1,1
601,1,0,4,1,1,1,3
602,1,1,1,1,1,1,3
603,1,1,1,1,1,1,1
604,1,1,1,1,1,1,1
605,1,0,1,1,1,1,1
606,1,1,1,1,1,1,1
607,1,1,1,1,2,1,2
608,1,0,4,1,2,1,3
609,1,0,2,1,2,1,1
610,1,1,3,1,1,1,1
611,1,0,1,1,1,1,1
612,1,0,2,2,3,2,1
613,1,0,3,1,1,1,3
614,1,0,1,1,1,1,1
615,1,0,3,1,1,1,3
616,1,1,1,1,1,1,1
617,1,1,1,1,1,1,1
618,1,0,3,1,3,1,1
619,1,0,1,1,1,1,1
620,1,0,3,1,1,1,1
621,1,1,3,1,1,1,2
622,1,1,4,1,1,1,1
623,1,1,4,1,1,1,3
624,1,1,1,1,1,1,3
625,1,0,1,1,1,1,2
626,1,0,3,1,1,1,1
627,1,0,1,1,3,1,1
628,1,0,2,1,1,2,1
629,1,0,1,1,3,1,1
630,1,0,3,1,2,2,3
631,1,1,4,1,2,1,3
632,1,1,1,1,1,1,1
633,1,0,1,1,1,1,1
634,1,0,1,1,3,1,2
635,1,6,1,1,1,1,2
636,1,0,4,1,1,1,1
637,1,0,2,1,1,1,2
638,1,0,1,1,2,1,1
639,1,1,1,1,1,1,3
640,1,1,1,1,1,1,1
641,1,1,3,1,1,1,1
642,1,1,1,1,1,1,2
643,1,1,1,1,3,1,1
644,1,0,4,1,1,1,1
645,1,1,3,1,1,1,2
646,1,0,4,1,3,1,1
647,1,1,3,1,1,1,2
648,1,1,1,1,1,1,1
649,1,1,2,1,1,1,1
650,1,0,1,1,3,1,1
651,1,0,1,1,3,1,1
652,1,1,1,1,1,1,1
653,1,1,1,1,2,1,3
654,1,0,2,1,3,1,1
655,1,0,1,1,3,1,2
656,1,0,1,1,1,1,1
657,1,0,1,1,1,1,1
658,1,0,2,1,3,1,1
659,1,0,1,1,1,1,1
660,1,1,1,1,1,1,2
661,1,0,4,1,3,1,1
662,1,0,4,1,1,1,1
663,1,1,2,1,1,1,1
664,1,1,1,1,1,2,1
665,1,0,2,1,3,1,1
666,1,1,1,1,1,1,2
667,1,1,1,1,3,1,1
668,1,0,1,1,1,1,3
669,1,0,4,1,3,1,1
670,1,0,1,1,2,1,2
671,1,0,1,1,3,1,1
672,1,0,1,1,1,1,1
673,1,0,4,2,1,3,1
674,1,0,1,1,1,1,1
675,1,1,1,1,1,1,1
676,1,0,1,1,1,1,2
677,1,0,3,1,3,1,2
678,1,1,1,1,1,1,1
679,1,0,1,1,3,1,1
680,1,0,3,1,1,1,1
681,1,0,1,1,3,1,1
682,1,1,3,1,3,1,1
683,1,1,1,1,1,1,1
684,1,0,4,1,3,1,1
685,1,0,1,1,3,1,1
686,1,0,2,2,2,1,1
687,1,1,1,1,3,1,1
688,1,0,3,1,1,1,1
689,1,0,4,1,3,1,1
690,1,0,1,1,3,1,2
691,1,0,1,1,1,1,1
692,1,1,1,1,1,1,3
693,1,1,1,1,1,1,1
694,1,1,2,1,2,1,3
695,1,1,4,1,2,1,3
696,1,1,1,1,3,1,2
697,1,1,1,1,1,1,3
698,1,0,1,1,1,1,1
699,1,0,4,1,3,1,1
700,1,0,1,1,1,1,3
701,1,0,3,1,1,1,1
702,1,0,1,1,3,1,1
703,1,1,1,1,1,1,1
704,1,0,1,1,1,1,1
705,1,0,3,1,3,1,1
706,1,0,1,1,1,1,1
707,1,1,1,1,1,1,1
708,1,1,2,1,1,1,1
709,1,1,1,1,2,1,1
710,1,0,2,1,2,1,1
711,1,0,3,1,3,1,1
712,1,0,2,1,2,1,1
713,1,0,1,1,3,1,1
714,1,0,4,1,3,1,2
715,1,1,2,1,3,1,1
716,1,0,3,1,1,1,1
717,1,0,3,1,1,1,3
718,1,0,4,1,3,1,2
719,1,1,1,1,3,1,1
720,1,1,2,1,2,1,1
721,1,1,1,1,3,1,1
722,1,1,1,1,1,1,1
723,1,1,1,1,1,1,3
724,1,0,3,1,1,1,2
725,1,0,4,1,1,1,3
726,1,0,1,1,1,1,1
727,1,1,1,1,1,1,1
728,1,1,1,1,2,1,3
729,1,0,1,1,1,1,2
730,1,0,3,1,2,1,1
731,1,0,3,1,2,1,1
732,1,0,2,1,1,1,1
733,1,0,3,1,1,1,3
734,1,0,2,1,1,1,1
735,1,1,4,1,1,1,3
736,1,1,1,1,1,1,1
737,1,1,1,1,1,1,1
738,1,0,1,1,1,1,1
739,1,1,1,1,1,1,2
740,1,0,4,1,1,1,1
741,1,0,4,1,1,1,1
742,1,0,1,1,1,1,1
743,1,1,4,1,2,2,1
744,1,1,1,1,1,1,1
745,1,1,4,1,2,1,1
746,1,0,1,1,1,1,1
747,1,0,4,1,3,1,1
748,1,0,3,1,2,1,1
749,1,1,2,1,3,1,1
750,1,0,2,1,2,1,1
751,1,0,2,1,2,1,3
752,1,0,1,1,1,1,1
753,1,0,4,1,2,1,1
754,1,0,4,1,1,1,1
755,1,0,3,1,1,1,2
756,1,0,4,1,1,1,1
757,1,0,3,1,1,1,2
758,1,0,4,1,1,1,1
759,1,1,1,1,1,1,2
760,1,1,4,1,1,1,1
761,1,1,1,1,1,1,1
762,1,1,1,1,1,1,2
763,1,0,3,1,1,1,1
764,1,0,1,1,1,1,1
765,1,0,1,1,1,1,2
766,1,0,1,1,2,1,2
767,1,0,1,1,1,1,3
768,1,0,3,1,2,1,1
769,1,2,1,1,1,1,1
770,1,1,1,1,1,1,1
771,1,0,3,1,3,1,2
772,1,0,4,2,1,1,3
773,1,0,4,1,1,1,2
774,1,0,3,1,1,1,1
775,1,0,3,1,1,1,1
776,1,3,1,2,2,1,3
777,1,1,3,1,1,1,2
778,1,0,2,1,3,1,1
779,1,1,1,1,1,1,1
780,1,2,1,1,2,1,2
781,1,0,2,1,1,1,1
782,1,0,4,1,3,1,2
783,1,0,3,1,1,1,3
784,1,1,1,1,3,1,1
785,1,1,3,1,1,1,1
786,1,1,4,1,3,1,3
787,1,1,4,1,1,1,1
788,1,0,1,1,1,1,1
789,1,1,2,1,3,1,1
790,1,0,1,1,3,1,1
791,1,0,1,1,1,1,1
792,1,0,1,1,3,1,2
793,1,2,4,1,1,1,2
794,1,0,3,1,3,1,1
795,1,1,2,1,1,1,1
796,1,1,3,1,1,1,2
797,1,0,1,1,3,1,2
798,1,0,3,1,3,1,1
799,1,1,1,1,1,1,1
800,1,1,1,1,1,1,1
801,1,1,1,1,2,1,1
802,1,0,4,1,1,1,2
803,1,1,3,1,1,1,1
804,1,0,3,1,1,1,3
805,1,1,1,2,1,1,2
806,1,0,3,1,1,1,2
807,1,0,1,1,1,1,3
808,1,1,4,1,3,1,3
809,1,0,3,1,2,1,1
810,1,0,1,1,1,1,2
811,1,0,4,1,3,1,2
812,1,0,1,1,3,1,3
813,1,1,1,1,1,1,1
814,1,0,1,1,3,1,3
815,1,0,4,1,1,1,1
816,1,1,1,1,1,1,3
817,1,0,3,1,3,1,2
818,1,0,2,1,1,1,3
819,1,0,2,2,1,1,1
820,1,0,3,1,1,1,1
821,1,0,4,1,1,1,3
822,1,0,4,1,1,1,2
823,1,0,3,1,1,1,1
824,1,0,4,1,1,1,1
825,1,0,2,1,1,1,1
826,1,0,3,1,1,1,1
827,1,0,4,1,3,1,1
828,1,0,3,1,3,1,1
829,1,0,4,1,1,1,1
830,1,1,4,1,1,1,1
831,1,0,1,1,3,1,2
832,1,1,2,1,1,1,1
833,1,0,3,1,1,1,3
834,1,1,1,1,1,1,1
835,1,0,3,1,1,1,3
836,1,0,1,1,1,1,1
837,1,0,4,1,1,1,3
838,1,1,1,1,1,1,1
839,1,1,2,1,1,1,1
840,1,1,1,1,2,1,3
841,1,1,2,1,1,1,1
842,1,0,2,1,3,1,1
843,1,0,1,1,1,1,1
844,1,0,4,1,3,1,1
845,1,1,1,1,1,1,1
846,1,0,3,1,3,1,3
847,1,1,1,1,2,1,2
848,1,3,1,1,2,1,1
849,1,2,1,1,1,1,2
850,1,1,2,2,2,1,1
851,1,1,1,1,1,1,2
852,1,1,1,1,1,1,2
853,1,0,4,1,1,1,1
854,1,1,1,1,2,1,2
855,1,0,1,1,1,1,1
856,1,1,1,1,1,1,1
857,1,0,1,1,3,1,1
858,1,1,2,1,1,1,2
859,1,1,2,1,2,1,1
860,1,1,2,1,1,1,1
861,1,1,1,1,1,1,2
862,1,0,3,1,1,1,1
