ID,FREQ,aones,hisnow,FRICTION,expose,cpm,intpm,gbrpm,lowpre,ny
37,48,1,0,50.5,0.74330425,0.20746887966804978,0,2.0746887966804977,0,0.342857143
38,17,1,1,48.6,0.9632468259999999,0.5190311418685121,0.3460207612456747,1.0380622837370241,0,0.121428571
39,26,1,1,42.8,0.837176556,1.0676156583629892,0.35587188612099646,2.1352313167259784,0,0.185714286
40,10,1,1,41.5,0.35616495600000003,1.5037593984962405,0.7518796992481203,1.5037593984962405,0,0.071428571
41,9,1,1,43.5,0.20080734150000001,2.9850746268656714,1.4925373134328357,0,0,0.064285714
42,140,1,0,53,1.8818528380000001,1.2658227848101264,0.6329113924050632,1.8987341772151898,0,1
43,11,1,0,42.5,0.3154476,3.3333333333333335,0,0,0,0.078571429
44,80,1,0,44.8,0.94108534,1.1173184357541899,0,1.675977653631285,0,0.571428571
45,48,1,0,44.8,0.3943095,0,0,1.3333333333333333,0,0.342857143
46,65,1,0,42.5,0.482533358,0.9900990099009901,0.9900990099009901,1.9801980198019802,0,0.464285714
47,25,1,0,41,0.524618771,1.0101010101010102,0,1.0101010101010102,0,0.178571429
48,47,1,0,41,0.42393436,1.25,1.25,1.25,0,0.335714286
49,69,1,0,41.5,0.873552675,0.6666666666666666,0.6666666666666666,1.3333333333333333,0,0.492857143
50,97,1,1,40.5,0.944749575,1.3333333333333333,1.3333333333333333,0.6666666666666666,0,0.692857143
51,29,1,0,42,0.332985485,1.8867924528301885,1.8867924528301885,0,0,0.207142857
52,81,1,1,50.5,0.6322778199999999,1.7391304347826089,0.8695652173913044,1.7391304347826089,0,0.578571429
53,133,1,1,50.5,1.041219294,0.5319148936170213,1.0638297872340425,0.5319148936170213,0,0.95
54,69,1,1,44.8,1.9255008519999999,1.1173184357541899,0.5586592178770949,1.1173184357541899,0,0.492857143
55,19,1,0,57.5,0.337613868,2.1978021978021975,1.0989010989010988,4.395604395604395,0,0.135714286
56,50,1,0,54.8,1.1476765080000002,0.49140049140049136,0.49140049140049136,1.4742014742014742,0,0.357142857
57,49,1,1,53.5,0.8781514559999999,0.5291005291005292,0.2645502645502646,1.3227513227513228,0,0.35
58,18,1,1,54.3,0.29063227199999997,0.7352941176470588,0.7352941176470588,0.7352941176470588,0,0.128571429
59,14,1,1,48,0.214921782,0.9259259259259258,0.9259259259259258,0.9259259259259258,0,0.1
60,6,1,1,45,0.171141419,1.1627906976744187,1.1627906976744187,2.3255813953488373,0,0.042857143
61,6,1,1,53,0.17844974099999997,2.127659574468085,1.0638297872340425,1.0638297872340425,0,0.042857143
62,18,1,1,49.8,0.44802275399999997,0.8474576271186441,0.8474576271186441,2.1186440677966103,0,0.128571429
63,11,1,1,51.5,0.26403030549999995,1.183431952662722,0.591715976,2.366863905325444,0,0.078571429
64,34,1,0,54.8,0.642449896,0.93676815,0.468384075,1.6393442622950822,0,0.242857143
65,2,1,0,55.8,0.44112556799999997,0.6944444444444444,0.6944444444444444,0.3472222222222222,0,0.014285714
66,18,1,0,59.3,0.24113870999999995,1.9607843137254901,0.6535947712418301,0,0,0.128571429
67,6,1,0,47.5,0.113162775,0,1.5151515151515151,0,0,0.042857143
68,24,1,0,49.7,0.29619917900000003,1.574803149606299,0.7874015748031495,1.574803149606299,0,0.171428571
69,6,1,0,49.7,0.070659036,1.4492753623188408,0,1.4492753623188408,0,0.042857143
70,29,1,0,50.3,0.30926128799999997,1.3245033112582782,0.33112582781456956,1.6556291390728477,0,0.207142857
71,17,1,1,52,0.063637312,1.8867924528301885,1.8867924528301885,0,0,0.121428571
72,46,1,1,46.5,0.20367332149999998,2.3923444976076556,1.4354066985645935,3.349282296650718,0,0.328571429
73,29,1,1,42,0.16435373300000003,1.2658227848101264,1.2658227848101264,5.063291139240506,0,0.207142857
74,27,1,1,42,0.153951598,2.7027027027027026,2.7027027027027026,4.054054054054054,0,0.192857143
75,19,1,1,43.5,0.19599361199999998,1.6260162601626016,1.6260162601626016,6.504065040650406,0,0.135714286
76,30,1,1,45.1,0.698737312,0.7211538461538461,0.24038461538461536,4.8076923076923075,0,0.214285714
77,19,1,1,40.5,0.084131223,3.0769230769230766,1.5384615384615383,1.5384615384615383,0,0.135714286
78,19,1,1,50.5,0.25629946,1.3824884792626728,0.9216589861751152,1.8433179723502304,0,0.135714286
79,58,1,1,50,0.9676369,0.853658537,0.3658536585365854,1.707317073170732,0,0.414285714
80,14,1,1,47.8,0.161509252,2.202643171806167,0.8810572687224669,3.0837004405286343,0,0.1
82,17,1,0,51.8,0.1584684,1.3333333333333333,0,2,0,0.121428571
83,15,1,0,51.3,0.29950527600000004,0.8818342151675486,0,2.1164021164021163,0,0.107142857
84,2,1,0,48.5,0.030553128,2.7777777777777777,0,2.7777777777777777,0,0.014285714
85,4,1,0,52.5,0.022490497,3.773584905660377,0,0,0,0.028571429
86,11,1,0,49,0.11361333100000001,1.6194331983805668,0,2.429149798,0,0.078571429
